Date,ipca
2011-01-01,5.993164877963819
2011-02-01,6.014199441345025
2011-03-01,6.298957040321995
2011-04-01,6.510350014450106
2011-05-01,6.5527717410316155
2011-06-01,6.712600898643162
2011-07-01,6.872653794701455
2011-08-01,7.2251925367271985
2011-09-01,7.310588409329877
2011-10-01,6.9697508084267445
2011-11-01,6.640874256303286
2011-12-01,6.503109040628829
2012-01-01,6.21791773406366
2012-02-01,5.8491055197092745
2012-03-01,5.239992698978724
2012-04-01,5.10422611119592
2012-05-01,4.9891523093423595
2012-06-01,4.915769976225448
2012-07-01,5.198590043054341
2012-08-01,5.240514359102222
2012-09-01,5.282388631203716
2012-10-01,5.450119211518278
2012-11-01,5.534042903688174
2012-12-01,5.838568997639171
2013-01-01,6.1543165185151905
2013-02-01,6.312834661648847
2013-03-01,6.588668780120321
2013-04-01,6.493349024653217
2013-05-01,6.503960159470323
2013-06-01,6.695514044649253
2013-07-01,6.270559293898881
2013-08-01,6.090637024404177
2013-09-01,5.858560459371187
2013-10-01,5.83751292771606
2013-11-01,5.774389162550464
2013-12-01,5.910818080013747
2014-01-01,5.585294050618539
2014-02-01,5.679754055236441
2014-03-01,6.153088277639673
2014-04-01,6.279775205469762
2014-05-01,6.37507439614915
2014-06-01,6.523613299155984
2014-07-01,6.502314965996114
2014-08-01,6.512939698135556
2014-09-01,6.746450876347665
2014-10-01,6.587238709384868
2014-11-01,6.55543428168166
2014-12-01,6.407616596391974
2015-01-01,7.137813070300547
2015-02-01,7.701752298895825
2015-03-01,8.128632014705971
2015-04-01,8.171595611413963
2015-05-01,8.473089208578966
2015-06-01,8.894448818054524
2015-07-01,9.558638536872754
2015-08-01,9.52585290938044
2015-09-01,9.493181381218129
2015-10-01,9.929322314821931
2015-11-01,10.476179952444099
2015-12-01,10.673497995621716
2016-01-01,10.706293382226528
2016-02-01,10.35630312454705
2016-03-01,9.386927781269838
2016-04-01,9.27831202535554
2016-05-01,9.321702262411446
2016-06-01,8.84445700995129
2016-07-01,8.73628323037472
2016-08-01,8.974977925153048
2016-09-01,8.476385426191712
2016-10-01,7.873858389505872
2016-11-01,6.987458008718916
2016-12-01,6.288055054224473
2017-01-01,5.353954442016962
2017-02-01,4.758793351512036
2017-03-01,4.571034884885772
2017-04-01,4.082530895263514
2017-05-01,3.5971291337952405
2017-06-01,2.99836147163679
2017-07-01,2.711457957788199
2017-08-01,2.455804189474309
2017-09-01,2.5377033135266736
2017-10-01,2.701338188154323
2017-11-01,2.8038549960881287
2017-12-01,2.9473499083459087
2018-01-01,2.855048040526098
2018-02-01,2.8447963662471265
2018-03-01,2.680655045363345
2018-04-01,2.7626847278442
2018-05-01,2.8548853222565285
2018-06-01,4.3909560762924515
2018-07-01,4.4846829921629805
2018-08-01,4.192680684170136
2018-09-01,4.525564648017344
2018-10-01,4.556791166036045
2018-11-01,4.045893403058787
2018-12-01,3.745482121827348
2019-01-01,3.7765157688874673
2019-02-01,3.8903058081077413
2019-03-01,4.575365272922949
2019-04-01,4.940575588683482
2019-05-01,4.658364877439025
2019-06-01,3.366413898801901
2019-07-01,3.222176901434848
2019-08-01,3.4288072225266975
2019-09-01,2.8935466755948713
2019-10-01,2.5350325756799297
2019-11-01,3.2748384024610333
2019-12-01,4.306039984113186
2020-01-01,4.1916693262358695
2020-02-01,4.004927312109352
2020-03-01,3.302958571938297
2020-04-01,2.39904484475022
2020-05-01,1.8774877402777834
2020-06-01,2.1321559928031864
2020-07-01,2.305451396723557
2020-08-01,2.438302347493404
2020-09-01,3.135161547136245
2020-10-01,3.9182057307108664
2020-11-01,4.311091196611461
2020-12-01,4.517341500509886
